Age,Mouse,Weight mg,Treatment,Weight g,Age at start,Week,Cohort
74,201,26710,MCP230,26.71,81,0,First Cohort
74,202,27800,MCP230,27.8,81,0,First Cohort
74,214,26040,MCP230,26.04,81,0,First Cohort
74,2500,27410,MCP230,27.41,81,0,First Cohort
75,203,29100,MCP230,29.1,82,0,First Cohort
75,204,26670,MCP230,26.67,82,0,First Cohort
75,207,26400,MCP230,26.4,82,0,First Cohort
75,208,30170,MCP230,30.17,82,0,First Cohort
75,209,26670,MCP230,26.67,82,0,First Cohort
75,250,28280,MCP230,28.28,82,0,First Cohort
68,298,23900,Saline,23.9,68,0,First Cohort
68,292,23000,Saline,23,68,0,First Cohort
68,293,25200,Saline,25.2,68,0,First Cohort
68,290,23400,Saline,23.4,68,0,First Cohort
68,297,25000,Saline,25,68,0,First Cohort
69,291,30700,Saline,30.7,69,0,First Cohort
69,294,28100,Saline,28.1,69,0,First Cohort
71,277,22700,Saline,22.7,71,0,First Cohort
71,300,24600,Saline,24.6,71,0,First Cohort
71,281,25400,Saline,25.4,71,0,First Cohort
71,279,26800,Saline,26.8,71,0,First Cohort
71,278,23700,Saline,23.7,71,0,First Cohort
71,280,29000,Saline,29,71,0,First Cohort
71,276,25500,Saline,25.5,71,0,First Cohort
81,201,32200,MCP230,32.2,81,1,First Cohort
81,202,32200,MCP230,32.2,81,1,First Cohort
81,214,28400,MCP230,28.4,81,1,First Cohort
81,2500,29700,MCP230,29.7,81,1,First Cohort
82,203,31200,MCP230,31.2,82,1,First Cohort
82,204,27500,MCP230,27.5,82,1,First Cohort
82,207,29100,MCP230,29.1,82,1,First Cohort
82,208,32600,MCP230,32.6,82,1,First Cohort
82,209,28800,MCP230,28.8,82,1,First Cohort
82,250,32200,MCP230,32.2,82,1,First Cohort
75,298,24200,Saline,24.2,68,1,First Cohort
75,292,23900,Saline,23.9,68,1,First Cohort
75,293,26400,Saline,26.4,68,1,First Cohort
75,290,24400,Saline,24.4,68,1,First Cohort
75,297,26400,Saline,26.4,68,1,First Cohort
76,291,36500,Saline,36.5,69,1,First Cohort
76,294,34800,Saline,34.8,69,1,First Cohort
78,277,23300,Saline,23.3,71,1,First Cohort
78,300,27400,Saline,27.4,71,1,First Cohort
78,281,28600,Saline,28.6,71,1,First Cohort
78,279,28700,Saline,28.7,71,1,First Cohort
78,278,24700,Saline,24.7,71,1,First Cohort
78,280,33600,Saline,33.6,71,1,First Cohort
78,276,28800,Saline,28.8,71,1,First Cohort
88,201,34400,MCP230,34.4,81,2,First Cohort
88,202,35000,MCP230,35,81,2,First Cohort
88,214,30200,MCP230,30.2,81,2,First Cohort
88,2500,31100,MCP230,31.1,81,2,First Cohort
89,203,34500,MCP230,34.5,82,2,First Cohort
89,204,29800,MCP230,29.8,82,2,First Cohort
89,207,31700,MCP230,31.7,82,2,First Cohort
89,208,36400,MCP230,36.4,82,2,First Cohort
89,209,30400,MCP230,30.4,82,2,First Cohort
89,250,35500,MCP230,35.5,82,2,First Cohort
83,298,26200,Saline,26.2,68,2,First Cohort
83,292,24800,Saline,24.8,68,2,First Cohort
83,293,29100,Saline,29.1,68,2,First Cohort
83,290,26800,Saline,26.8,68,2,First Cohort
83,297,29000,Saline,29,68,2,First Cohort
84,291,39400,Saline,39.4,69,2,First Cohort
84,294,38600,Saline,38.6,69,2,First Cohort
86,277,24700,Saline,24.7,71,2,First Cohort
86,300,29200,Saline,29.2,71,2,First Cohort
86,281,29400,Saline,29.4,71,2,First Cohort
86,279,30300,Saline,30.3,71,2,First Cohort
86,278,26700,Saline,26.7,71,2,First Cohort
86,280,36800,Saline,36.8,71,2,First Cohort
86,276,32100,Saline,32.1,71,2,First Cohort
